	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
105	휴게음식점	나루213	서울특별시 영등포구 여의도동  21번지 3호  -103		126.9310419	37.5261946	커피숍	0
106	휴게음식점	라운지리포즈(LOUNGE REPOSE)	서울특별시 영등포구 여의도동  25번지  10층		126.9260238	37.524028	커피숍	0
107	휴게음식점	영등포50플러스센터북카페서원	서울특별시 영등포구 여의도동  56번지 1호  4층		126.9304405	37.51767879999999	커피숍	0
108	휴게음식점	세븐일레븐 여의금강점	서울특별시 영등포구 여의도동  14번지 35호  금강빌딩 102호 일부	주식회사 코리아세븐	126.92061509999998	37.5285662	커피숍	0
109	휴게음식점	한강아라호	서울특별시 영등포구 여의도동  85번지 1호  서울항 임시선착장 1층	주식회사렛츠고코리아	126.93579650000001	37.5247878	커피숍	0
110	휴게음식점	9카페(9 CAFE)	서울특별시 영등포구 여의도동  13번지 22호  KCC파크타운 1층-108	(주)비비인터내셔널	126.9211706	37.529455	커피숍	0
111	휴게음식점	스타벅스국회의사당역점	서울특별시 영등포구 여의도동  17번지 3호  태흥빌딩 1층	(주)스타벅스커피코리아	126.91688219999999	37.5278307	커피숍	1
112	휴게음식점	데이비드쥬스여의도점(DAVID JUICE)	서울특별시 영등포구 여의도동  61번지  금호리첸시아 지하1층		126.939558	37.5184844	커피숍	0
113	휴게음식점	카페쥬빌리(CAFE JUBILEE)	서울특별시 영등포구 여의도동  23번지 10호  삼성생명보험주식회사 여의도빌딩 1층	주식회사제이에프앤비	126.92482	37.5242667	커피숍	0
114	휴게음식점	비아엠	서울특별시 영등포구 여의도동  61번지 5호  리버타워 3층 302호일부	고우온네트워크(주)	126.93850249999998	37.51942879999999	커피숍	0
115	휴게음식점	카페그랑KDB산업은행본점	서울특별시 영등포구 여의도동  16번지 3호	(주)아워홈	126.92082450000001	37.5270802	커피숍	0
116	휴게음식점	스타벅스여의도공원점	서울특별시 영등포구 여의도동  12번지  1층-102	(주)스타벅스커피코리아	126.92487209999999	37.5292309	커피숍	1
117	휴게음식점	여의나루김밥	서울특별시 영등포구 여의도동  35번지 2호		126.9265914	37.5216833	기타 휴게음식점	0
118	휴게음식점	비라티오여의도점	서울특별시 영등포구 여의도동  13번지 25호  1층112호		126.9265551	37.52405359999999	커피숍	0
