	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
164	휴게음식점	유어퍼블릭오아시스(Your Public Oasis)	서울특별시 마포구 서교동  396번지 15호  1층일부		126.9255433	37.5554671	커피숍
165	휴게음식점	스타벅스커피서교점	서울특별시 마포구 서교동  395번지 166호  1층일부	(주)스타벅스커피코리아	126.9169075	37.5513453	커피숍
166	휴게음식점	스타벅스커피서교점	서울특별시 마포구 서교동  395번지 166호  1층일부	(주)스타벅스커피코리아	126.9169075	37.5513453	커피숍
167	휴게음식점	츄로스토리롯데시네마홍대점	서울특별시 마포구 동교동  166번지 14호  외8필지 롯데시네마 8층 8F001호일부		126.925	37.5572222	커피숍
168	휴게음식점	트루커피(TRUE COFFEE)	서울특별시 마포구 서교동  353번지 5호  경남관광빌딩 1일 일부		126.9202255	37.5547574	커피숍
169	휴게음식점	펭귄마카롱	서울특별시 마포구 서교동  405번지 14호  1층일부		126.920841	37.5505857	커피숍
170	휴게음식점	츄로101홍대본점	서울특별시 마포구 서교동  346번지 1호  1층	(주)츄로원오원	126.9242635	37.5556852	커피숍
171	휴게음식점	홍커피	서울특별시 마포구 서교동  345번지 26호  1층일부(102호)		126.9231548	37.5545578	커피숍
172	휴게음식점	지커피(GCOFFEE)	서울특별시 마포구 서교동  352번지 11호  1층	(주)지엔씨미디어	126.9194976	37.5552912	커피숍
173	휴게음식점	빈브라더스	서울특별시 마포구 동교동  165번지 4호  양화로164빌딩 3층일부	(주)에이블커피그룹	126.923968	37.5565619	커피숍
174	휴게음식점	캣앤라켓커피(Cat And Racket)	서울특별시 마포구 서교동  397번지 3호  1층		126.9181054	37.5502921	커피숍
175	휴게음식점	아이엔유카페사랑신촌점	서울특별시 마포구 노고산동  107번지 104호  미화빌딩 5층일부	(주)아이엔유카페사랑	126.9370162	37.5533248	커피숍
176	휴게음식점	이상	서울특별시 마포구 서교동  487번지  서교동대우미래사랑 1층-109		126.9166702	37.5574793	커피숍
177	휴게음식점	로즈(ROSE)	서울특별시 마포구 서교동  371번지 10호  지하1층일부	(주)제이디앤드디	126.9191217	37.5528739	커피숍
178	휴게음식점	카페오아시아서교점	서울특별시 마포구 서교동  449번지 27호  1층	카페오아시아 사회적협동조합	126.9172937	37.557274	커피숍
179	휴게음식점	카페오아시아서교점	서울특별시 마포구 서교동  449번지 27호  1층		126.9172937	37.557274	커피숍
180	휴게음식점	닥터베이크(Dr.Bake)	서울특별시 마포구 서교동  449번지 27호  1층	카페오아시아 사회적협동조합	126.9172937	37.557274	커피숍
181	휴게음식점	닥터베이크(Dr.Bake)	서울특별시 마포구 서교동  449번지 27호  1층		126.9172937	37.557274	커피숍
182	휴게음식점	노란구름빵	서울특별시 마포구 서교동  332번지 35호	(주)혜우	126.9265367	37.5560429	커피숍
183	휴게음식점	팝바	서울특별시 마포구 서교동  346번지 52호  1층 좌측		126.9238379	37.5549812	커피숍
184	휴게음식점	데코덴카페내맘케(decoden cafe 내맘케)	서울특별시 마포구 서교동  363번지 20호	(주)더만듦	126.9218593	37.55115360000001	커피숍
185	휴게음식점	스페로스페라	서울특별시 마포구 서교동  364번지 31호		126.922327	37.5521499	기타 휴게음식점
186	휴게음식점	훈고링고브레드	서울특별시 마포구 서교동  247번지 163호  2층일부(좌측)		126.912966	37.5581055	커피숍
187	휴게음식점	홍대입구점빽다방	서울특별시 마포구 서교동  346번지 47호  외1필지 1층일부		126.9238379	37.5549812	커피숍
188	휴게음식점	빽다방홍대극동방송점	서울특별시 마포구 서교동  411번지 2호  1층일부		126.9226302	37.54980279999999	다방
189	휴게음식점	빽다방홍대극동방송점	서울특별시 마포구 서교동  411번지 2호  1층일부		126.9226302	37.54980279999999	다방
190	휴게음식점	달콤커피홍대YZ파크점	서울특별시 마포구 동교동  166번지 15호  동교동 스타피카소 7층일부(7FA07일부7FA087FA097FA117FA147FA497FA50호)		126.9251416	37.5571183	커피숍
191	휴게음식점	만나떡볶이	서울특별시 마포구 동교동  148번지 8호  1층일부		126.9251077	37.5594763	기타 휴게음식점
192	휴게음식점	만나떡볶이	서울특별시 마포구 동교동  148번지 8호  1층일부		126.9251077	37.5594763	기타 휴게음식점
193	휴게음식점	에그 셀런트 연남점	서울특별시 마포구 동교동  148번지 8호  1층일부		126.9251077	37.5594763	기타 휴게음식점
194	휴게음식점	에그 셀런트 연남점	서울특별시 마포구 동교동  148번지 8호  1층일부		126.9251077	37.5594763	기타 휴게음식점
195	휴게음식점	노엘(NOEL)	서울특별시 마포구 동교동  190번지 1호  공항철도홍대입구역(지하2층일부)1172-10		126.925262	37.557722	기타 휴게음식점
196	휴게음식점	스윗츄(SWEETU)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
197	휴게음식점	스윗츄(SWEETU)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
198	휴게음식점	스윗츄(SWEETU)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
199	휴게음식점	포렛(foret)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
200	휴게음식점	포렛(foret)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
201	휴게음식점	포렛(foret)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
202	휴게음식점	라이킷(LIKIT)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
203	휴게음식점	라이킷(LIKIT)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
204	휴게음식점	라이킷(LIKIT)	서울특별시 마포구 서교동  474번지 37호  1층		126.9138868	37.5560326	기타 휴게음식점
205	휴게음식점	달프프레즐(DALP PRETZEL)	서울특별시 마포구 서교동  333번지 6호  1층일부-102		126.9261585	37.5547933	커피숍
206	휴게음식점	쿵푸티	서울특별시 마포구 서교동  357번지 1호  서교오피스텔지2층일부		126.914726	37.5564793	커피숍
