	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	index
205	휴게음식점	모뉴망켄싱턴호텔여의도점	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	205
206	휴게음식점	모뉴망켄싱턴호텔여의도점	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	206
207	휴게음식점	모뉴망켄싱턴호텔여의도점	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	207
208	휴게음식점	모뉴망켄싱턴호텔여의도점	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	208
209	휴게음식점	델리N카페	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	209
210	휴게음식점	델리N카페	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	210
211	휴게음식점	델리N카페	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	211
212	휴게음식점	델리N카페	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	212
213	휴게음식점	카페안젤로 여의도성모점	서울특별시 영등포구 여의도동  62번지	(주)미셸푸드	126.936089	37.5179713	커피숍	213
214	휴게음식점	카페안젤로 여의도성모점	서울특별시 영등포구 여의도동  62번지	(주)미셸푸드	126.936089	37.5179713	커피숍	214
215	휴게음식점	카페레브(CAFE REVE)	서울특별시 영등포구 여의도동  36번지 2호  맨하탄빌딩 1층-121		126.926893	37.5207606	커피숍	215
216	휴게음식점	올리버브라운(여의도점)	서울특별시 영등포구 여의도동  25번지 3호  동화빌딩-101	주식회사 올리버브라운코리아	126.9269202	37.5237336	커피숍	216
217	휴게음식점	마이도시카페	서울특별시 영등포구 여의도동  16번지 1호  8층	(주)이씨엠디	126.9233935	37.52859309999999	커피숍	217
218	휴게음식점	마이도시카페	서울특별시 영등포구 여의도동  16번지 1호  8층	(주)풀무원푸드앤컬처	126.9233935	37.52859309999999	커피숍	218
219	휴게음식점	군바리스타	서울특별시 영등포구 여의도동  44번지 12호  고려빌딩 1층 103호		126.9311143	37.5195119	커피숍	219
220	휴게음식점	커피블랙83도	서울특별시 영등포구 여의도동  44번지 12호  고려빌딩 1층 103호		126.9311143	37.5195119	커피숍	220
221	휴게음식점	그리다꿈(여의도이마트점)	서울특별시 영등포구 여의도동  47번지  자이아파트상가동 1층-102		126.9261297	37.5181371	커피숍	221
222	휴게음식점	그리다꿈(여의도이마트점)	서울특별시 영등포구 여의도동  47번지  자이아파트상가동 1층-102		126.9261297	37.5181371	커피숍	222
223	휴게음식점	허커피(HER COFFEE)	서울특별시 영등포구 여의도동  47번지  자이아파트상가동 1층-102		126.9261297	37.5181371	커피숍	223
224	휴게음식점	허커피(HER COFFEE)	서울특별시 영등포구 여의도동  47번지  자이아파트상가동 1층-102		126.9261297	37.5181371	커피숍	224
